Tag,Species,census_range,n_censuses,K,max_obs,max_states_per_census,total_states,estimated_edges_unpruned,estimated_edges_pruned,estimated_fallback,fallback_reason,predicted_seconds,predicted_hours
079195,faraoc,"1,2,3,4,5,6,7",7,7,4,840,2156,933744,,FALSE,,1424.91715338936,0.395810320385932
255042,all_trees_shrubs,"1,2,3,4,5,6,7",7,7,4,840,2156,933744,,FALSE,,1424.91715338936,0.395810320385932
197120,all_trees_shrubs,"1,2,3,4,5,6,7",7,7,4,840,2786,932029,,FALSE,,1420.68502685391,0.394634729681642
181704,psycho,"1,2,3,4,5,6,7",7,7,4,840,2023,928158,,FALSE,,1411.15236652288,0.391986768478578
056865,faraoc,"1,2,3,4,5,6,7",7,7,4,840,2156,927913,,FALSE,,1410.54995975174,0.391819433264372
264309,hassfl,"1,2,3,4,5,6,7",7,7,4,840,3360,926100,,FALSE,,1406.0955774444,0.390582104845667
199829,mourmy,"1,2,3,4,5,6,7",7,7,4,840,2058,922572,,FALSE,,1397.44490609114,0.388179140580872
202075,coccma,"1,2,3,4,5,6,7",7,6,5,720,2250,919800,,FALSE,,1390.6640046989,0.386295556860805
220131,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2250,919800,,FALSE,,1390.6640046989,0.386295556860805
155454,cupasy,"1,2,3,4,5,6,7",7,7,4,840,1988,919338,,FALSE,,1389.53522849694,0.385982007915818
135597,guetfo,"1,2,3,4,5,6,7",7,6,5,720,2202,918216,,FALSE,,1386.79554963514,0.385220986009761
241685,cupasy,"1,2,3,4,5,6,7",7,6,5,720,2202,918216,,FALSE,,1386.79554963514,0.385220986009761
010784,cappfr,"1,2,3,4,5,6,7",7,7,4,840,2226,910224,,FALSE,,1367.34786389219,0.379818851081163
231673,randar,"1,2,3,4,5,6,7",7,6,5,720,2178,909432,,FALSE,,1365.42702126748,0.379285283685412
089144,guetfo,"1,2,3,4,5,6,7",7,6,5,720,2880,907200,,FALSE,,1360.01995557957,0.377783320994324
161881,casesy,"1,2,3,4,5,6,7",7,7,4,840,2191,898758,,FALSE,,1339.65210086194,0.372125583572762
258256,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,2191,894348,,FALSE,,1329.0644625392,0.369184572927556
253807,des2pa,"1,2,3,4,5,6,7",7,7,4,840,1988,892927,,FALSE,,1325.66053971445,0.368239038809569
203062,cupasy,"1,2,3,4,5,6,7",7,7,4,840,1953,888517,,FALSE,,1315.12039397386,0.365311220548295
286461,hybapr,"2,3,4,5,6,7",6,7,4,840,1946,888223,,FALSE,,1314.41899545951,0.365116387627643
055242,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2052,880596,,FALSE,,1296.27904971552,0.360077513809868
116420,ouralu,"1,2,3,4,5,6,7",7,6,5,720,2010,869400,,FALSE,,1269.8456999024,0.352734916639556
044019,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1962,867816,,FALSE,,1266.12469060577,0.351701302946046
171096,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1962,867816,,FALSE,,1266.12469060577,0.351701302946046
091781,des2pa,"1,2,3,4,5,6,7",7,6,5,720,2280,864000,,FALSE,,1257.17955179799,0.349216542166109
214429,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2280,864000,,FALSE,,1257.17955179799,0.349216542166109
260987,chr1ec,"1,2,3,4,5,6,7",7,6,5,720,2190,853200,,FALSE,,1232.00964946402,0.342224902628894
264302,cappfr,"1,2,3,4,5,6,7",7,6,5,720,2400,835200,,FALSE,,1190.54190884175,0.330706085789376
025229,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2310,831600,,FALSE,,1182.32080990956,0.328422447197099
237374,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2010,826200,,FALSE,,1170.03451380695,0.325009587168598
007350,alsebl,"1,2,3,4,5,6,7",7,7,4,840,2618,811783,,FALSE,,1137.49936090855,0.315972044696818
264508,anaxpa,"1,2,3,4,5,6,7",7,6,5,720,1920,801900,,FALSE,,1115.42100935636,0.309839169265656
166650,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,3360,793800,,FALSE,,1097.46246807999,0.304850685577775
033496,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1920,791100,,FALSE,,1091.50367648064,0.303195465689068
055147,cupasy,"1,2,3,4,5,6,7",7,7,4,840,2023,787038,,FALSE,,1082.56482885913,0.30071245246087
119336,hybapr,"1,2,3,4,5,6,7",7,7,4,840,1988,786744,,FALSE,,1081.91905626432,0.300533071184533
075256,faraoc,"1,2,3,4,5,6,7",7,6,5,720,1824,782028,,FALSE,,1071.58257278517,0.297661825773658
070738,tri2tu,"1,2,3,4,5,6,7",7,6,5,720,2172,779796,,FALSE,,1066.70509839321,0.296306971775892
081607,des2pa,"1,2,3,4,5,6,7",7,6,5,720,2172,779796,,FALSE,,1066.70509839321,0.296306971775892
096047,des2pa,"1,2,3,4,5,6,7",7,6,5,720,2172,779796,,FALSE,,1066.70509839321,0.296306971775892
111860,caseac,"1,2,3,4,5,6,7",7,7,4,840,2121,762979,,FALSE,,1030.25787558275,0.286182743217431
002939,all_trees_shrubs,"1,2,3,4,5,6,7",7,7,4,840,2121,758569,,FALSE,,1020.78856789606,0.283552379971127
222927,hybapr,"1,2,3,4,5,6,7",7,7,4,840,2058,754992,,FALSE,,1013.13493668422,0.281426371301173
309613,psycho,"2,3,4,5,6,7",6,7,4,840,1981,752934,,FALSE,,1008.74245688497,0.280206238023601
311452,guargu,"2,3,4,5,6,7",6,7,4,840,1848,746172,,FALSE,,994.366536364483,0.276212926767912
420309,micoho,"3,4,5,6,7",5,7,4,840,1736,741223,,FALSE,,983.900000316281,0.273305555643411
269693,hybapr,"2,3,4,5,6,7",6,6,5,720,2280,734400,,FALSE,,969.546461804673,0.269318461612409
186973,faraoc,"1,2,3,4,5,6,7",7,6,5,720,2160,720000,,FALSE,,939.543981656405,0.260984439349001
189495,chr1ec,"1,2,3,4,5,6,7",7,6,5,720,2160,720000,,FALSE,,939.543981656405,0.260984439349001
042376,acaldi,"1,2,3,4,5,6,7",7,7,4,840,1750,717752,,FALSE,,934.895931236106,0.259693314232252
091325,hybapr,"1,2,3,4,5,6,7",7,7,4,840,1750,712166,,FALSE,,923.387882518299,0.256496634032861
005040,phoeci,"1,2,3,4,5,6,7",7,7,4,840,2324,707119,,FALSE,,913.041541921667,0.253622650533796
166123,alibed,"1,2,3,4,5,6,7",7,6,5,720,1956,702720,,FALSE,,904.063353588245,0.251128709330068
243791,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1980,695700,,FALSE,,889.812592683169,0.247170164634214
188446,cha2sc,"1,2,3,4,5,6,7",7,6,5,720,1932,693396,,FALSE,,885.156019868087,0.24587667218558
107687,faraoc,"1,2,3,4,5,6,7",7,6,5,720,1932,691956,,FALSE,,882.250836086487,0.245069676690691
257151,tri2tu,"1,2,3,4,5,6,7",7,6,5,720,1932,691956,,FALSE,,882.250836086487,0.245069676690691
116319,xyl2ol,"1,2,3,4,5,6,7",7,6,5,720,2040,662400,,FALSE,,823.503502537701,0.228750972927139
218454,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,2040,662400,,FALSE,,823.503502537701,0.228750972927139
163424,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,2730,661500,,FALSE,,821.741051957462,0.228261403321517
254534,hybapr,"1,2,3,4,5,6,7",7,6,5,720,2220,659700,,FALSE,,818.220852194486,0.227283570054024
042372,pentma,"1,2,3,4,5,6,7",7,6,5,720,2196,658980,,FALSE,,816.814527985,0.226892924440278
229217,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,4,360,2190,658800,,FALSE,,816.463103727013,0.226795306590837
263860,chr1ec,"1,2,3,4,5,6,7",7,6,5,720,2172,652356,,FALSE,,803.923454568002,0.223312070713334
055010,tri2tu,"1,2,3,4,5,6,7",7,6,5,720,2070,651600,,FALSE,,802.457597458152,0.22290488818282
128247,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1818,650232,,FALSE,,799.807911990295,0.222168864441749
256936,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1860,638100,,FALSE,,776.468418086696,0.215685671690749
172861,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1812,634356,,FALSE,,769.32352922497,0.213700980340269
153352,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1920,633600,,FALSE,,767.884124530277,0.213301145702855
050389,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,2562,626220,,FALSE,,753.891332889037,0.209414259135844
238760,faraoc,"1,2,3,4,5,6,7",7,6,5,720,1698,624276,,FALSE,,750.223114889916,0.208395309691643
118986,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1722,623016,,FALSE,,747.849509542254,0.207735974872848
520257,rinosy,"4,5,6,7",4,6,5,720,1680,619200,,FALSE,,740.67980897407,0.205744391381686
030244,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1680,611100,,FALSE,,725.555561602985,0.201543211556385
198419,rinosy,"1,2,3,4,5,6,7",7,7,4,840,2394,610344,,FALSE,,724.150525021549,0.201152923617097
245824,guetfo,"1,2,3,4,5,6,7",7,6,5,720,1740,609300,,FALSE,,722.212079360453,0.200614466489015
173729,cupasy,"1,2,3,4,5,6,7",7,6,5,720,1608,608652,,FALSE,,721.009981709164,0.200280550474768
203465,hassfl,"1,2,3,4,5,6,7",7,6,5,720,1608,608652,,FALSE,,721.009981709164,0.200280550474768
195138,hassfl,"1,2,3,4,5,6,7",7,6,5,720,1584,605628,,FALSE,,715.411090059603,0.198725302794334
018380,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,5,720,1920,604800,,FALSE,,713.88119162909,0.198300331008081
051761,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,4,360,2280,604800,,FALSE,,713.88119162909,0.198300331008081
128927,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,4,360,2280,604800,,FALSE,,713.88119162909,0.198300331008081
230294,des2pa,"1,2,3,4,5,6,7",7,6,4,360,2280,604800,,FALSE,,713.88119162909,0.198300331008081
603107,all_trees_shrubs,"5,6,7",3,6,5,720,1560,604800,,FALSE,,713.88119162909,0.198300331008081
092799,cou2cu,"1,2,3,4,5,6,7",7,6,5,720,2160,590400,,FALSE,,687.4899377585,0.190969427155139
053745,des2pa,"1,2,3,4,5,6,7",7,7,4,840,2359,588000,,FALSE,,683.131120858521,0.189758644682922
155819,hybapr,"1,2,3,4,5,6,7",7,6,5,720,1980,584100,,FALSE,,676.072301039502,0.187797861399862
092711,randar,"1,2,3,4,5,6,7",7,7,4,840,2394,583884,,FALSE,,675.682229349828,0.18768950815273
105268,all_palm_tree_fern,"1,2,3,4,5,6,7",7,7,4,840,2394,583884,,FALSE,,675.682229349828,0.18768950815273
187484,lindla,"1,2,3,4,5,6,7",7,7,4,840,2394,583884,,FALSE,,675.682229349828,0.18768950815273
198980,tripcu,"1,2,3,4,5,6,7",7,7,4,840,2324,579229,,FALSE,,667.298244221761,0.185360623394934
147084,eugega,"1,2,3,4,6,7",6,7,4,840,2317,579180,,FALSE,,667.210219780031,0.18533617216112
201820,cou2cu,"1,2,3,4,5,6,7",7,6,5,720,1692,576756,,FALSE,,662.861639387936,0.184128233163316
147415,all_palm_tree_fern,"1,2,3,4,5,6,7",7,6,4,360,2040,576000,,FALSE,,661.507779898134,0.183752161082815
207740,coccma,"1,2,3,4,5,6,7",7,7,4,840,2394,575064,,FALSE,,659.833142040499,0.183286983900139
104151,ingasa,"1,2,3,4,5,6,7",7,6,5,720,1602,573156,,FALSE,,656.424835576545,0.182340232104596
054659,tri2tu,"1,2,3,4,5,6,7",7,6,4,360,1950,565200,,FALSE,,642.290713186425,0.178414086996229
134171,protte,"1,2,3,4,5,6,7",7,6,4,360,1926,562320,,FALSE,,637.205297397572,0.177001471499326
136527,xyl2ol,"1,2,3,5,6,7",6,6,5,720,1926,562320,,FALSE,,637.205297397572,0.177001471499326
423008,quaras,"3,4,5,6,7",5,6,5,720,1566,562320,,FALSE,,637.205297397572,0.177001471499326
435293,des2pa,"3,4,5,6,7",5,6,5,720,1920,561600,,FALSE,,635.936522088032,0.176649033913342
035456,hybapr,"1,2,3,4,5,6,7",7,7,4,840,2156,543949,,FALSE,,605.155483397374,0.168098745388159
125665,quasam,"1,2,3,4,5,6,7",7,6,5,720,1590,543600,,FALSE,,604.553149967524,0.167931430546535
074157,guetfo,"1,2,3,4,5,6,7",7,6,5,720,1536,541080,,FALSE,,600.211163594127,0.166725323220591
539032,psycho,"4,5,6,7",4,6,5,720,1500,540900,,FALSE,,599.90150860471,0.166639307945753
151783,tripcu,"1,2,3,4,5,6,7",7,6,5,720,1494,540288,,FALSE,,598.849167419328,0.166346990949813
181468,rinosy,"1,2,3,4,5,6,7",7,6,5,720,1842,540216,,FALSE,,598.725411936029,0.166312614426675
407122,all_palm_tree_fern,"3,4,5,6,7",5,6,5,720,1482,540216,,FALSE,,598.725411936029,0.166312614426675
020054,xyl2ol,"1,2,3,4,5,6,7",7,6,4,360,1860,540000,,FALSE,,598.354207844574,0.166209502179048
616014,acalma,"5,6,7",3,6,5,720,1470,540000,,FALSE,,598.354207844574,0.166209502179048
645116,hybapr,"5,6,7",3,6,5,720,1470,540000,,FALSE,,598.354207844574,0.166209502179048
